scenario,horizon_seconds,risk_set_n,p_reply_within_horizon_pct
full_window,30,223312,8.473794511714553
full_window,300,223102,9.419010138860253
full_window,3600,217472,9.822873749264273
pre_gap_contiguous,30,2854,0.0350385423966363
pre_gap_contiguous,300,2842,0.3518648838845883
pre_gap_contiguous,3600,2063,1.3572467280659235
post_gap_contiguous,30,220456,8.583118626846172
post_gap_contiguous,300,220244,9.536695664808121
post_gap_contiguous,3600,214610,9.94082288802945
exclude_gap_overlap_6h,30,220456,8.583118626846172
exclude_gap_overlap_6h,300,220246,9.536609064409797
exclude_gap_overlap_6h,3600,214616,9.940544973347746
exclude_gap_overlap_24h,30,220456,8.583118626846172
exclude_gap_overlap_24h,300,220246,9.536609064409797
exclude_gap_overlap_24h,3600,214616,9.940544973347746
