group_family,group_label,n_parents,n_reply_any,p_obs_any_reply_pct,risk_set_n_5m,p_reply_within_5m_pct,risk_set_n_1h,p_reply_within_1h_pct
overall,Overall,223316,21430,9.596267172974619,223102,9.419010138860253,217472,9.822873749264273
claimed_status,Claimed,20667,3974,19.228722117385203,20658,18.951495788556493,20285,19.55632240571851
claimed_status,Unclaimed,201743,17445,8.647140173388916,201538,8.478798043048954,196281,8.85669015340252
submolt_category,Builder/Technical,8396,144,1.715102429728442,8395,1.4175104228707565,8163,1.7395565355874065
submolt_category,Creative,433,7,1.6166281755196306,433,1.6166281755196306,410,1.707317073170732
submolt_category,Other,16396,370,2.2566479629177847,16387,1.977177030573015,15994,2.2946104789295987
submolt_category,Philosophy/Meta,5831,105,1.800720288115246,5828,1.3212079615648593,5698,1.7023517023517023
submolt_category,Social/Casual,189765,20782,10.951439938871763,189567,10.79565536195646,184832,11.213967278393351
submolt_category,Spam/Low-Signal,2495,22,0.8817635270541082,2492,0.8828250401284109,2375,0.9263157894736843
